"Reporter","Year","Sector","Subsector","Primary NAICS Code","NAICS Definition","Parent Company","City","County","Jurisdiction","Reported Emissions (MTCO2e)","Biogenic Carbon Dioxide (MTCO2e)","Carbon Dioxide (MTCO2e)","Methane (MTCO2e)","Nitrous Oxide (MTCO2e)","HFCs (MTCO2e)","PFCs (MTCO2e)","Sulfur Hexafluoride (MTCO2e)","Fluorinated - Other (MTCO2e)","Notes","Point Size","Location","Covered Emissions (MT CO2e)","CCA Status","Georeferenced Location"
"Cascade Hardwood LLC - Chehalis","2022","Wood Products","Lumber Mills","321113","Sawmills","Cascade Hardwood LLC","Chehalis","Lewis","Southwest Clean Air Agency","8,998","8,872","7","17","102","0","0","0","0",,"1","46.635062, -122.930338",,,"POINT (-122.930338 46.635062)"
"Northwest Pipeline C/S - Chehalis","2022","Natural Gas Systems","Natural Gas Transmission/Compression","486210","Pipeline Transportation of Natural Gas","The Williams Companies, Inc.","Chehalis","Lewis","Southwest Clean Air Agency","19,805","0","17,908","1,887","10","0","0","0","0",,"1","46.533325, -122.87373",,,"POINT (-122.87373 46.533325)"
"NorthStar Energy, LLC - Seattle","2022","Supplier","Other Fuel Supplier","424710","Petroleum Bulk Stations and Terminals","Saltchuk Holdings, Inc.","Seattle","King",,"44,818","685","43,893","27","213","0","0","0","0",,,,,,
"H.W. Hill Landfill Gas Power Plant - Roosevelt","2018","Power Plants","Other Power, Heating, or Cooling Plants","221119","Other Electric Power Generation","Public Utility District No. 1 of Klickitat County","Roosevelt","Klickitat","Ecology: Central Regional Office","42,846","42,400","229","65","153","0","0","0","0",,"2","45.807765, -120.166354",,,"POINT (-120.166354 45.807765)"
"Darigold - Lynden","2013","Food Production","Dairy Products","311514","Dry, Condensed, and Evaporated Dairy Product Manufacturing","Darigold Inc.","Lynden","Whatcom","Northwest Clean Air Agency","18,509","0","18,490","9","10","0","0","0","0",,"1","48.947567, -122.451915",,,"POINT (-122.451915 48.947567)"
"Lamb Weston - Quincy","2023","Food Production","Potato Products","311411","Frozen Fruit, Juice, and Vegetable Manufacturing","Lamb Weston, Inc.","Quincy","Grant","Ecology: Eastern Regional Office","29,971","0","29,941","14","17","0","0","0","0",,"2","47.234413, -119.869914","29,971","Covered Entity","POINT (-119.869914 47.234413)"
"BB Energy USA LLC","2022","Supplier","Other Fuel Supplier","424720","Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals)","BB ENERGY USA LLC","Houston","Harris",,"19,048","1,224","17,484","27","312","0","0","0","0",,,,,,
"Gas Transmission Northwest Compressor Station 6, LLC - Rosalia","2015","Natural Gas Systems","Natural Gas Transmission/Compression","486210","Pipeline Transportation of Natural Gas","TransCanada Northern Border Inc.","Rosalia","Whitman","Spokane Regional Clean Air Agency","84,805","0","82,433","2,326","46","0","0","0","0",,"2","47.277256, -117.406737",,,"POINT (-117.406737 47.277256)"
"City of Tacoma Solid Waste Facility - Tacoma","2014","Waste","Landfills","562212","Solid Waste Landfill","City of Tacoma","Tacoma","Pierce","Puget Sound Clean Air Agency","20,396","0","0","20,396","0","0","0","0","0",,"1","47.223413, -122.499775",,,"POINT (-122.499775 47.223413)"
"Naval Air Station Whidbey Island - Oak Harbor","2019","Government","National Security","928110","National Security","US Government","Oak Harbor","Island","Northwest Clean Air Agency","13,092","0","13,078","7","8","0","0","0","0",,"1","48.345281, -122.669741",,,"POINT (-122.669741 48.345281)"
"Keyes Fibre Corporation - Wenatchee","2019","Pulp and Paper","Other Pulp and Paper","322299","All Other Converted Paper Product Manufacturing","Tekni-Plex Wenatchee Fiber Consumer Porducts","Wenatchee","Chelan","Ecology: Central Regional Office","14,671","0","14,656","7","8","0","0","0","0",,"1","47.485987, -120.316363",,,"POINT (-120.316363 47.485987)"
"Nucor Steel Seattle, Inc, - Seattle","2022","Metals","Iron and Steel Production","331110","Iron and Steel Mills and Ferroalloy Manufacturing","Nucor Corporation","Seattle","King","Puget Sound Clean Air Agency","84,680","0","84,637","20","24","0","0","0","0",,"2","47.569331, -122.367332",,,"POINT (-122.367332 47.569331)"
"Phillips 66 Ferndale Refinery - Ferndale","2021","Petroleum Systems","Petroleum Refineries","324110","Petroleum Refineries","Phillips 66 Company","Ferndale","Whatcom","Northwest Clean Air Agency","832,384","0","828,325","1,983","2,076","0","0","0","0",,"3","48.830142, -122.692114",,,"POINT (-122.692114 48.830142)"
"WaferTech LLC - Camas","2020","Manufacturing","Electronics Industry","334413","Semiconductor and Related Device Manufacturing","WaferTech LLC","Camas","Clark","Southwest Clean Air Agency","104,942","0","14,148","7","6,812","10,531","33,555","11,758","28,131",,"3","45.619569, -122.454955",,,"POINT (-122.454955 45.619569)"
"Hampton Lumber Mills Washington Inc. - Randle","2023","Wood Products","Lumber Mills","321113","Sawmills","Hampton Lumber Mills Washington Inc.","Randle","Lewis","Southwest Clean Air Agency","57,434","56,677","0","109","648","0","0","0","0",,"2","46.533743, -121.917906",,"Reporter","POINT (-121.917906 46.533743)"
"Phillips 66 Company - Houston","2022","Supplier","Other Fuel Supplier","424710","Petroleum Bulk Stations and Terminals","Phillips 66 Company","Houston","Harris",,"8,264,661","329,260","7,841,838","8,340","85,224","0","0","0","0",,,,,,
"Boise Cascade Wood Products, LLC.  Kettle Falls Plywood - Kettle Falls","2015","Wood Products","Other Wood Products","321219","Reconstituted Wood Product Manufacturing","Boise Cascade Company","Kettle Falls","Stevens","Ecology: Eastern Regional Office","71,151","68,501","1,734","132","784","0","0","0","0",,"2","48.613175, -118.116106",,,"POINT (-118.116106 48.613175)"
"James Hardie Building Products - Tacoma","2018","Manufacturing","Building Products","327390","Other Concrete Product Manufacturing","James Hardie Building Products Inc.","Tacoma","Pierce","Puget Sound Clean Air Agency","11,699","0","11,687","6","7","0","0","0","0","First year reporting.","1","47.092145, -122.364656",,,"POINT (-122.364656 47.092145)"
"Riverside Feeders SFL - Kennewick","2013","Livestock","Cattle Feedlots","112112","Cattle Feedlots","Easterday Ranches","Kennewick","Benton","Benton Clean Air Agency","19,972","0","1,118","1,440","17,414","0","0","0","0",,"1","45.991872, -119.136497",,,"POINT (-119.136497 45.991872)"
"Northwest Pipeline C/S - Sumner","2023","Natural Gas Systems","Natural Gas Transmission/Compression","486210","Pipeline Transportation of Natural Gas","The Williams Companies, Inc.","Sumner","Pierce","Puget Sound Clean Air Agency","51,136","0","50,579","529","28","0","0","0","0",,"2","47.228986, -122.209551","51,136","Covered Entity","POINT (-122.209551 47.228986)"
"Northwest Hardwoods Inc. - Centralia","2020","Wood Products","Lumber Mills","321113","Sawmills","Littlejohn & Co. LLC","Centralia","Lewis","Southwest Clean Air Agency","8,347","4,892","3,387","11","58","0","0","0","0",,"1","46.734454, -122.991963",,,"POINT (-122.991963 46.734454)"
"REG Grays Harbor LLC - Hoquiam","2018","Petroleum Systems","Other Petroleum Systems","325199","All Other Basic Organic Chemical Manufacturing","Chevron Corporation","Hoquiam","Grays Harbor","Olympic Region Clean Air Agency","19,370","0","19,351","9","11","0","0","0","0",,"1","46.968196, -123.853622",,,"POINT (-123.853622 46.968196)"
"McCain Foods - Othello","2016","Food Production","Potato Products","311411","Frozen Fruit, Juice, and Vegetable Manufacturing","McCain USA Inc.","Othello","Adams","Ecology: Eastern Regional Office","67,668","0","36,830","30,818","21","0","0","0","0",,"2","46.840102, -119.172705",,,"POINT (-119.172705 46.840102)"
"Sierra Pacific Industries - Centralia","2015","Wood Products","Lumber Mills","321113","Sawmills","Sierra Pacific Industries","Centralia","Lewis","Southwest Clean Air Agency","40,254","39,724","0","76","454","0","0","0","0",,"2","46.756413, -122.995433",,,"POINT (-122.995433 46.756413)"
"Greif, Tacoma Mill - Tacoma","2019","Pulp and Paper","Other Pulp and Paper","322130","Paperboard Mills","Paperboard Parent Inc.","Tacoma","Pierce","Puget Sound Clean Air Agency","14,351","0","14,336","7","8","0","0","0","0",,"1","47.239235, -122.421909",,,"POINT (-122.421909 47.239235)"
"Nippon Dynawave - Longview","2013","Pulp and Paper","Kraft Mills","322121","Paper (except Newsprint) Mills","Nippon Paper Industries Co Ltd","Longview","Cowlitz","Ecology: Industrial Section","1,509,835","1,193,366","306,848","3,563","6,056","0","0","0","0","Assigned emissions level.  Formerly included North Pacific Paper before 2016.  Ecology split emissions for consistency with cooperation from facility.","4","46.130495, -122.983637",,,"POINT (-122.983637 46.130495)"
"Cowlitz County Headquarters Landfill - Castle Rock","2013","Waste","Landfills","562212","Solid Waste Landfill","Cowlitz County","Castle Rock","Cowlitz","Southwest Clean Air Agency","129,060","556","0","128,502","2","0","0","0","0",,"3","46.246902, -122.772284",,,"POINT (-122.772284 46.246902)"
"Northwest Hardwoods Inc. - Longview","2021","Wood Products","Lumber Mills","321113","Sawmills","Littlejohn & Co. LLC","Longview","Cowlitz","Southwest Clean Air Agency","14,016","8,547","5,349","19","101","0","0","0","0",,"1","46.114537, -122.916806",,,"POINT (-122.916806 46.114537)"
"City of Enumclaw Gas Utility - supplier","2015","Supplier","Natural Gas Supplier","221210","Natural Gas Distribution","City of Enumclaw","Enumclaw","King",,"20,444","0","20,423","10","11","0","0","0","0",,,,,,
"El Oro Cattle Feeders, LLC - Moses Lake","2021","Livestock","Cattle Feedlots","112112","Cattle Feedlots","Agri Beef Co.","Moses Lake","Grant","Ecology: Eastern Regional Office","27,314","0","0","2,117","25,198","0","0","0","0","Voluntary reporter.  Manure management reporting repealed by Legislature.","2","47.052176, -119.093815",,,"POINT (-119.093815 47.052176)"
"Emerald City Renewables, LLC- Graham","2020","Power Plants","Other Power, Heating, or Cooling Plants","221117","Biomass Electric Power Generation","Emerald City Renewables LLC","Graham","Pierce","Puget Sound Clean Air Agency","18,098","18,006","0","28","65","0","0","0","0",,"1","46.975533, -122.290871",,,"POINT (-122.290871 46.975533)"
"US Army Joint Base Lewis-McChord - Pierce Co.","2012","Government","National Security","928110","National Security","US Government","Joint Base Lewis-McChord","Pierce","Puget Sound Clean Air Agency","86,478","0","62,395","24,037","46","0","0","0","0",,"2","47.1142, -122.5365",,,"POINT (-122.5365 47.1142)"
"U.S. Department of Energy Hanford Site - Richland","2012","Government","Other Government","924110","Administration of Air and Water Resource and Solid Waste Management Programs","US Government","Richland","Benton","Ecology: NWP","14,865","0","4,334","10,523","7","0","0","0","0",,"1","46.55069, -119.489007",,,"POINT (-119.489007 46.55069)"
"Alcoa Intalco Works - Ferndale","2017","Metals","Aluminum Production","331312","Primary Aluminum Production","Alcoa Corp.","Ferndale","Whatcom","Ecology: Industrial Section","1,092,946","0","354,712","9,675","32","0","728,526","0","0","PFC emissions based on old source test information.","4","48.8455, -122.7055",,,"POINT (-122.7055 48.8455)"
"Lamb Weston - Richland","2016","Food Production","Potato Products","311411","Frozen Fruit, Juice, and Vegetable Manufacturing","Lamb Weston, Inc.","Richland","Benton","Benton Clean Air Agency","35,966","0","35,929","17","20","0","0","0","0",,"2","46.309314, -119.297267",,,"POINT (-119.297267 46.309314)"
"AmeriGas Propane - King of Prussia","2023","Supplier","Other Fuel Supplier","457210","Fuel Dealers","UGI Corp","King of Prussia","Montgomery",,"9,873","0","9,834","12","28","0","0","0","0",,,,"1,095","Covered Entity",
"WestRock LLC - Longview","2016","Pulp and Paper","Kraft Mills","322130","Paperboard Mills","Westrock Corp.","Longview","Cowlitz","Ecology: Industrial Section","1,661,899","1,499,059","156,168","1,333","5,339","0","0","0","0",,"4","46.10361, -122.92167",,,"POINT (-122.92167 46.10361)"
"H.W. Hill Landfill Gas Power Plant - Roosevelt","2013","Power Plants","Other Power, Heating, or Cooling Plants","221119","Other Electric Power Generation","Public Utility District No. 1 of Klickitat County","Roosevelt","Klickitat","Ecology: Central Regional Office","89,278","88,822","0","136","320","0","0","0","0",,"2","45.807765, -120.166354",,,"POINT (-120.166354 45.807765)"
"EPIC Aviation LLC","2023","Supplier","Other Fuel Supplier","424710","Petroleum Bulk Stations and Terminals","Signature Aviation","Salem","Marion",,"16,107","4,706","11,358","12","31","0","0","0","0",,,,,"Reporter",
"Darling Ingredients Inc - Tacoma","2019","Food Production","Meat Products","311613","Rendering and Meat Byproduct Processing","Darling Ingredients Inc.","Tacoma","Pierce","Puget Sound Clean Air Agency","9,187","0","9,178","4","5","0","0","0","0",,"1","47.250503, -122.406461",,,"POINT (-122.406461 47.250503)"
"Graymont Western US. Inc. - Tacoma","2015","Minerals","Lime Production","327410","Lime Manufacturing","Graymont, Inc.","Tacoma","Pierce","Puget Sound Clean Air Agency","76,402","0","76,345","23","34","0","0","0","0",,"2","47.271365, -122.397262",,,"POINT (-122.397262 47.271365)"
"Michelsen Packaging - Yakima","2022","Pulp and Paper","Other Pulp and Paper","322299","All Other Converted Paper Product Manufacturing","Michelson Packaging Co.","Yakima","Yakima","Yakima Regional Clean Air Agency","9,536","0","9,526","5","5","0","0","0","0",,"1","46.604058, -120.513015",,,"POINT (-120.513015 46.604058)"
"US Army Joint Base Lewis-McChord - Pierce Co.","2017","Government","National Security","928110","National Security","US Government","Joint Base Lewis-McChord","Pierce","Puget Sound Clean Air Agency","78,440","0","59,757","18,648","36","0","0","0","0",,"2","47.1142, -122.5365",,,"POINT (-122.5365 47.1142)"
"Waste Management Greater Wenatchee Regional Landfill - East Wenatchee","2020","Waste","Landfills","562212","Solid Waste Landfill","Waste Management Inc.","East Wenatchee","Douglas","Ecology: Central Regional Office","55,421","0","0","55,421","0","0","0","0","0",,"2","47.405083, -120.167444",,,"POINT (-120.167444 47.405083)"
"Cheyne Landfill - Zillah","2023","Waste","Landfills","562212","Solid Waste Landfill","Yakima County Public Services","Zillah","Yakima","Yakima Regional Clean Air Agency","47,466","0","0","47,466","0","0","0","0","0",,"2","46.4785, -120.2688",,"Reporter","POINT (-120.2688 46.4785)"
"HF Sinclair Puget Sound Refinery LLC - Anacortes","2017","Petroleum Systems","Petroleum Refineries","324110","Petroleum Refineries","HollyFrontier Puget Sound Refining LLC","Anacortes","Skagit","Northwest Clean Air Agency","1,897,818","0","1,886,919","6,831","4,068","0","0","0","0","Assigned Emissions Level","4","48.470931, -122.559161",,,"POINT (-122.559161 48.470931)"
"Air Liquide Electronics Moses Lake Hydrogen Plant","2018","Chemicals","Other Chemicals","325120","Industrial Gas Manufacturing","Air Liquide USA Inc.","Moses Lake","Grant","Ecology: Eastern Regional Office","9,273","0","9,273","0","0","0","0","0","0",,"1","47.135844, -119.19962",,,"POINT (-119.19962 47.135844)"
"Okanogan County Central Landfill - Okanogan","2019","Waste","Landfills","562212","Solid Waste Landfill","Okanogan County","Okanogan","Okanogan","Ecology: Central Regional Office","14,933","0","0","14,933","0","0","0","0","0",,"1","48.341148, -119.620109",,,"POINT (-119.620109 48.341148)"
"Darigold - Sunnyside","2022","Food Production","Dairy Products","311513","Cheese Manufacturing","Darigold Inc.","Sunnyside","Yakima","Yakima Regional Clean Air Agency","36,877","0","36,839","18","21","0","0","0","0",,"2","46.30058, -120.015675",,,"POINT (-120.015675 46.30058)"
"LRI Landfill - Graham","2012","Waste","Landfills","562212","Solid Waste Landfill","Waste Connections Inc.","Graham","Pierce","Puget Sound Clean Air Agency","4,329","0","0","4,329","0","0","0","0","0",,"1","46.972405, -122.292799",,,"POINT (-122.292799 46.972405)"
"Great Western Malt - Vancouver","2021","Food Production","Other Food Products","311213","Malt Manufacturing","Great Western Malt","Vancouver","Clark","Southwest Clean Air Agency","20,016","0","19,995","10","11","0","0","0","0",,"1","45.631069, -122.690043",,,"POINT (-122.690043 45.631069)"
